maintenance_run_id,sensor_event_id,event_timestamp,plant_id,production_line_id,machine_id,sensor_id,sensor_type,measurement_unit,sensor_value,threshold_breach_component_score,near_threshold_component_score,anomaly_component_score,degradation_score,runtime_risk_score,maintenance_state_risk_score,production_context_score,quality_context_score,failure_risk_score,equipment_health_score,risk_level,maintenance_priority,recommended_action,recommendation_reason,synthetic_data_flag
MAINT-f281a27e7d014de8,EH-000477,2026-01-14 02:00:00+00:00,PLANT-01,LINE-01-02,MACH-01-02-02,SENS-MACH-01-02-02-VIBRATION,vibration,mm_s,8.816000,100.000000,0.000000,0.000000,97.982143,94.734299,100.000000,51.282051,40.000000,76.370676,23.629324,high,high,prioritise_non_binding_maintenance_review,sensor value breached critical threshold; degradation signal: sensor_trend_moving_toward_risk; repeated_warning_breaches; recent_critical_breach; runtime/service proxy is elevated,True
MAINT-f281a27e7d014de8,EH-000424,2026-01-12 12:00:00+00:00,PLANT-03,LINE-03-01,MACH-03-01-02,SENS-MACH-03-01-02-TEMPERATURE,temperature,celsius,91.340000,100.000000,0.000000,0.000000,98.105857,88.515758,100.000000,47.549020,100.000000,75.275986,24.724014,high,high,prioritise_non_binding_maintenance_review,sensor value breached critical threshold; degradation signal: sensor_trend_moving_toward_risk; recent_critical_breach; runtime/service proxy is elevated,True
MAINT-f281a27e7d014de8,EH-000371,2026-01-11 02:00:00+00:00,PLANT-01,LINE-01-02,MACH-01-02-03,SENS-MACH-01-02-03-VIBRATION,vibration,mm_s,9.233000,100.000000,0.000000,0.000000,96.837857,81.205447,100.000000,0.000000,0.000000,71.548388,28.451612,high,high,prioritise_non_binding_maintenance_review,sensor value breached critical threshold; degradation signal: sensor_trend_moving_toward_risk; repeated_warning_breaches; recent_critical_breach; runtime/service proxy is elevated,True
MAINT-f281a27e7d014de8,EH-000318,2026-01-09 12:00:00+00:00,PLANT-03,LINE-03-01,MACH-03-01-03,SENS-MACH-03-01-03-TEMPERATURE,temperature,celsius,90.317000,100.000000,0.000000,0.000000,95.316286,70.383154,100.000000,0.000000,0.000000,69.620730,30.379270,high,high,prioritise_non_binding_maintenance_review,sensor value breached critical threshold; degradation signal: sensor_trend_moving_toward_risk; recent_critical_breach; runtime/service proxy is elevated,True
MAINT-f281a27e7d014de8,EH-000212,2026-01-06 12:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-01,SENS-MACH-03-02-01-TEMPERATURE,temperature,celsius,90.930000,100.000000,0.000000,0.000000,100.000000,52.630285,100.000000,0.000000,0.000000,67.894543,32.105457,high,high,prioritise_non_binding_maintenance_review,sensor value breached critical threshold; degradation signal: sensor_trend_moving_toward_risk; recent_critical_breach,True
MAINT-f281a27e7d014de8,EH-000265,2026-01-08 02:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-01,SENS-MACH-02-01-01-VIBRATION,vibration,mm_s,8.501000,100.000000,0.000000,0.000000,66.146429,63.212830,100.000000,0.000000,0.000000,62.711210,37.288790,high,high,prioritise_non_binding_maintenance_review,sensor value breached critical threshold; degradation signal: sensor_trend_moving_toward_risk; recent_critical_breach,True
MAINT-f281a27e7d014de8,EH-000159,2026-01-05 02:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-02,SENS-MACH-02-01-02-VIBRATION,vibration,mm_s,8.939000,100.000000,0.000000,0.000000,72.340400,45.130107,100.000000,0.000000,0.000000,61.237596,38.762404,high,high,prioritise_non_binding_maintenance_review,sensor value breached critical threshold; degradation signal: sensor_trend_moving_toward_risk; recent_critical_breach,True
MAINT-f281a27e7d014de8,EH-000337,2026-01-10 02:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-01,SENS-MACH-02-01-01-VIBRATION,vibration,mm_s,6.646000,70.000000,0.000000,0.000000,92.848429,75.323338,60.000000,0.000000,0.000000,56.868186,43.131814,medium,medium,review_sensor_threshold_breach,sensor value breached warning threshold; degradation signal: sensor_trend_moving_toward_risk; repeated_warning_breaches; recent_critical_breach; runtime/service proxy is elevated,True
MAINT-f281a27e7d014de8,EH-000301,2026-01-09 02:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-01,SENS-MACH-02-01-01-VIBRATION,vibration,mm_s,7.199000,70.000000,0.000000,0.000000,91.921571,69.219813,60.000000,0.000000,0.000000,55.767286,44.232714,medium,medium,review_sensor_threshold_breach,sensor value breached warning threshold; degradation signal: sensor_trend_moving_toward_risk; repeated_warning_breaches; recent_critical_breach,True
MAINT-f281a27e7d014de8,EH-000433,2026-01-13 02:00:00+00:00,PLANT-01,LINE-01-01,MACH-01-01-01,SENS-MACH-01-01-01-VIBRATION,vibration,mm_s,7.248000,70.000000,0.000000,0.000000,46.176571,90.865314,60.000000,50.657895,60.000000,52.398006,47.601994,medium,medium,review_sensor_threshold_breach,sensor value breached warning threshold; degradation signal: sensor_trend_moving_toward_risk; repeated_warning_breaches; runtime/service proxy is elevated,True
