maintenance_run_id,alert_id,sensor_event_id,event_timestamp,plant_id,production_line_id,machine_id,sensor_id,sensor_type,measurement_unit,sensor_value,source_threshold_status,calculated_threshold_status,threshold_consistency_flag,warning_breach_flag,critical_breach_flag,near_threshold_flag,robust_zscore,isolation_forest_score,anomaly_flags,degradation_score,runtime_risk_score,maintenance_state,failure_risk_score,equipment_health_score,risk_level,maintenance_priority,recommended_action,recommendation_reason,investigation_context,synthetic_data_flag
MAINT-f281a27e7d014de8,MA-743563a7e40b,EH-000477,2026-01-14 02:00:00+00:00,PLANT-01,LINE-01-02,MACH-01-02-02,SENS-MACH-01-02-02-VIBRATION,vibration,mm_s,8.816000,critical,critical,True,False,True,False,0.000000,0.000000,,97.982143,94.734299,critical_inspection_required,76.370676,23.629324,high,high,prioritise_non_binding_maintenance_review,sensor value breached critical threshold; degradation signal: sensor_trend_moving_toward_risk; repeated_warning_breaches; recent_critical_breach; runtime/service proxy is elevated,machine_warning_breach_count=2; machine_critical_breach_count=1; sensor_type_anomaly_count=0; context_is_investigative_not_causal; sensor_trend_moving_toward_risk; repeated_warning_breaches; recent_critical_breach; high_runtime_since_service_proxy; maintenance_state=critical_inspection_required; recent_production_downtime_present; quality_alert_context_available,True
MAINT-f281a27e7d014de8,MA-8250f444a5e7,EH-000424,2026-01-12 12:00:00+00:00,PLANT-03,LINE-03-01,MACH-03-01-02,SENS-MACH-03-01-02-TEMPERATURE,temperature,celsius,91.340000,critical,critical,True,False,True,False,0.000000,0.000000,,98.105857,88.515758,critical_inspection_required,75.275986,24.724014,high,high,prioritise_non_binding_maintenance_review,sensor value breached critical threshold; degradation signal: sensor_trend_moving_toward_risk; recent_critical_breach; runtime/service proxy is elevated,machine_warning_breach_count=6; machine_critical_breach_count=1; sensor_type_anomaly_count=0; context_is_investigative_not_causal; sensor_trend_moving_toward_risk; recent_critical_breach; high_runtime_since_service_proxy; maintenance_state=critical_inspection_required; recent_production_downtime_present; quality_alert_context_available,True
MAINT-f281a27e7d014de8,MA-771ab1ab3ba7,EH-000371,2026-01-11 02:00:00+00:00,PLANT-01,LINE-01-02,MACH-01-02-03,SENS-MACH-01-02-03-VIBRATION,vibration,mm_s,9.233000,critical,critical,True,False,True,False,0.000000,0.000000,,96.837857,81.205447,critical_inspection_required,71.548388,28.451612,high,high,prioritise_non_binding_maintenance_review,sensor value breached critical threshold; degradation signal: sensor_trend_moving_toward_risk; repeated_warning_breaches; recent_critical_breach; runtime/service proxy is elevated,machine_warning_breach_count=2; machine_critical_breach_count=1; sensor_type_anomaly_count=0; context_is_investigative_not_causal; sensor_trend_moving_toward_risk; repeated_warning_breaches; recent_critical_breach; high_runtime_since_service_proxy; maintenance_state=critical_inspection_required,True
MAINT-f281a27e7d014de8,MA-a8e176f92845,EH-000318,2026-01-09 12:00:00+00:00,PLANT-03,LINE-03-01,MACH-03-01-03,SENS-MACH-03-01-03-TEMPERATURE,temperature,celsius,90.317000,critical,critical,True,False,True,False,0.000000,0.000000,,95.316286,70.383154,critical_inspection_required,69.620730,30.379270,high,high,prioritise_non_binding_maintenance_review,sensor value breached critical threshold; degradation signal: sensor_trend_moving_toward_risk; recent_critical_breach; runtime/service proxy is elevated,machine_warning_breach_count=3; machine_critical_breach_count=1; sensor_type_anomaly_count=0; context_is_investigative_not_causal; sensor_trend_moving_toward_risk; recent_critical_breach; high_runtime_since_service_proxy; maintenance_state=critical_inspection_required,True
MAINT-f281a27e7d014de8,MA-7851ef57f655,EH-000212,2026-01-06 12:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-01,SENS-MACH-03-02-01-TEMPERATURE,temperature,celsius,90.930000,critical,critical,True,False,True,False,0.000000,0.000000,,100.000000,52.630285,critical_inspection_required,67.894543,32.105457,high,high,prioritise_non_binding_maintenance_review,sensor value breached critical threshold; degradation signal: sensor_trend_moving_toward_risk; recent_critical_breach,machine_warning_breach_count=1; machine_critical_breach_count=1; sensor_type_anomaly_count=0; context_is_investigative_not_causal; sensor_trend_moving_toward_risk; recent_critical_breach; maintenance_state=critical_inspection_required,True
MAINT-f281a27e7d014de8,MA-7d4bd9f9061d,EH-000265,2026-01-08 02:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-01,SENS-MACH-02-01-01-VIBRATION,vibration,mm_s,8.501000,critical,critical,True,False,True,False,0.000000,0.000000,,66.146429,63.212830,critical_inspection_required,62.711210,37.288790,high,high,prioritise_non_binding_maintenance_review,sensor value breached critical threshold; degradation signal: sensor_trend_moving_toward_risk; recent_critical_breach,machine_warning_breach_count=7; machine_critical_breach_count=1; sensor_type_anomaly_count=0; context_is_investigative_not_causal; sensor_trend_moving_toward_risk; recent_critical_breach; maintenance_state=critical_inspection_required,True
MAINT-f281a27e7d014de8,MA-96fec773c729,EH-000159,2026-01-05 02:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-02,SENS-MACH-02-01-02-VIBRATION,vibration,mm_s,8.939000,critical,critical,True,False,True,False,0.000000,0.000000,,72.340400,45.130107,critical_inspection_required,61.237596,38.762404,high,high,prioritise_non_binding_maintenance_review,sensor value breached critical threshold; degradation signal: sensor_trend_moving_toward_risk; recent_critical_breach,machine_warning_breach_count=0; machine_critical_breach_count=1; sensor_type_anomaly_count=0; context_is_investigative_not_causal; sensor_trend_moving_toward_risk; recent_critical_breach; maintenance_state=critical_inspection_required,True
MAINT-f281a27e7d014de8,MA-f856a37d8dd1,EH-000373,2026-01-11 02:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-01,SENS-MACH-02-01-01-VIBRATION,vibration,mm_s,5.743000,normal,normal,True,False,False,False,0.000000,0.000000,,87.174571,81.545933,normal,29.666804,70.333196,low,low,review_degradation_trend,degradation signal: sensor_trend_moving_toward_risk; repeated_warning_breaches; recent_critical_breach; runtime/service proxy is elevated,machine_warning_breach_count=7; machine_critical_breach_count=1; sensor_type_anomaly_count=0; context_is_investigative_not_causal; sensor_trend_moving_toward_risk; repeated_warning_breaches; recent_critical_breach; high_runtime_since_service_proxy,True
MAINT-f281a27e7d014de8,MA-6943fad062bb,EH-000449,2026-01-13 02:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-03,SENS-MACH-02-01-03-VIBRATION,vibration,mm_s,6.146000,normal,normal,True,False,False,True,0.000000,0.000000,,18.117143,90.525316,normal,29.099343,70.900657,low,low,monitor_near_threshold_sensor,sensor value is near a configured threshold; runtime/service proxy is elevated,machine_warning_breach_count=2; machine_critical_breach_count=1; sensor_type_anomaly_count=0; context_is_investigative_not_causal; high_runtime_since_service_proxy; recent_production_downtime_present; quality_alert_context_available,True
MAINT-f281a27e7d014de8,MA-cc131f2b2252,EH-000215,2026-01-06 02:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,SENS-MACH-03-02-03-VIBRATION,vibration,mm_s,6.264000,normal,normal,True,False,False,True,0.000000,0.000000,,47.035771,51.922162,normal,28.728685,71.271315,low,low,review_degradation_trend,sensor value is near a configured threshold; degradation signal: sensor_trend_moving_toward_risk; repeated_warning_breaches,machine_warning_breach_count=5; machine_critical_breach_count=0; sensor_type_anomaly_count=0; context_is_investigative_not_causal; sensor_trend_moving_toward_risk; repeated_warning_breaches; recent_production_downtime_present; quality_alert_context_available,True
