inventory_run_id,warehouse_id,plant_id,item_id,product_id,material_id,item_type,snapshot_timestamp,on_hand_quantity,reserved_quantity,available_quantity,inbound_quantity,outbound_quantity,transfer_quantity,adjustment_quantity,unit_cost,inventory_value,forecast_demand,forecast_upper_bound_demand,average_daily_demand,demand_standard_deviation,demand_variability_source,lead_time_days,lead_time_std_days,lead_time_source,supplier_risk_score,supplier_delay_risk_score,supplier_quality_risk_score,current_reorder_point,current_safety_stock_quantity,expiry_date,synthetic_data_flag,committed_outbound_quantity,inventory_position,service_level,service_level_z_score,demand_uncertainty,lead_time_uncertainty,safety_stock_pre_rounded,safety_stock,recommended_safety_stock_quantity,safety_stock_source,lead_time_demand,review_period_demand,reorder_point,recommended_reorder_point,target_stock_level,reorder_point_gap,unconstrained_reorder_quantity,recommended_reorder_quantity,projected_end_of_horizon_inventory,projected_shortage_quantity,pessimistic_shortage_quantity,projected_excess_quantity,days_of_supply,projected_coverage_days,safety_stock_coverage,stockout_exposure,stockout_cost_exposure,estimated_stockout_cost,expected_stockout_date,days_until_stockout,service_level_exposure,stockout_risk_score,excess_risk_score,expiry_risk_score,working_capital_risk_score,overall_priority_score,priority_score,priority_level,priority_band,priority_level_sort,excess_stock_flag,excess_inventory_quantity,excess_inventory_value,working_capital_exposure,annual_holding_cost_estimate,inventory_turnover_proxy,recommended_action,recommendation_reason,constraint_status,policy_type,days_until_expiry,projected_demand_before_expiry,projected_remaining_quantity_at_expiry,expiry_at_risk_quantity,expiry_at_risk_value,expiry_risk_status
INVENTORY-5a5cc7e83afe8502,WH-02,PLANT-02,MAT-004,,MAT-004,material,2026-01-15T00:00:00Z,241,15,226,0.000000,321.000000,0.000000,0.000000,18.100000,4362.100000,321.000000,321.000000,22.928571,5.732143,configured_fallback,9.000000,2.041241,observed_supplier_history,40.483897,41.666667,10.268920,90,65,2026-06-30,True,321.000000,-95.000000,0.950000,1.650000,5.732143,2.041241,38.305045,39,39,configured_fallback,206.357143,160.500000,246,246,406.500000,341.000000,510,510,94.000000,416.000000,416.000000,0.000000,0.000000,0.000000,-2.435897,416.000000,15059.200000,15059.200000,,0.000000,1.000000,100.000000,0.000000,10.000000,4.362100,57.726900,57.726900,high,high,1,False,0.000000,0.000000,4362.100000,872.420000,0.073588,expedite_replenishment,Stockout risk is high and inventory position is below target.,unconstrained_pending_allocation,rules_based_inventory_policy,166.000000,3806.142857,0.000000,0.000000,0.000000,low
INVENTORY-5a5cc7e83afe8502,WH-02,PLANT-02,MAT-002,,MAT-002,material,2026-01-15T00:00:00Z,180,52,128,0.000000,265.000000,0.000000,0.000000,13.300000,2394.000000,265.000000,265.000000,18.928571,4.732143,configured_fallback,7.750000,1.785357,observed_supplier_history,48.770323,33.333333,24.616531,150,45,,True,265.000000,-137.000000,0.950000,1.650000,4.732143,1.785357,29.344480,30,30,configured_fallback,146.696429,132.500000,177,177,309.500000,314.000000,450,450,48.000000,402.000000,402.000000,0.000000,0.000000,0.000000,-4.566667,402.000000,10693.200000,10693.200000,,0.000000,1.000000,100.000000,0.000000,0.000000,2.394000,57.674648,57.674648,high,high,1,False,0.000000,0.000000,2394.000000,478.800000,0.110693,expedite_replenishment,Stockout risk is high and inventory position is below target.,unconstrained_pending_allocation,rules_based_inventory_policy,,0.000000,0.000000,0.000000,0.000000,not_applicable
INVENTORY-5a5cc7e83afe8502,WH-02,PLANT-02,MAT-010,,MAT-010,material,2026-01-15T00:00:00Z,263,71,192,0.000000,340.000000,0.000000,0.000000,32.500000,8547.500000,340.000000,340.000000,24.285714,6.071429,configured_fallback,8.000000,2.041241,observed_supplier_history,40.243085,50.000000,14.305672,90,75,,True,340.000000,-148.000000,0.950000,1.650000,6.071429,2.041241,38.251951,39,39,configured_fallback,194.285714,170.000000,234,234,404.000000,382.000000,560,560,72.000000,488.000000,488.000000,0.000000,0.000000,0.000000,-3.794872,488.000000,31720.000000,31720.000000,,0.000000,1.000000,100.000000,0.000000,0.000000,8.547500,57.318588,57.318588,high,high,1,False,0.000000,0.000000,8547.500000,1709.500000,0.039778,expedite_replenishment,Stockout risk is high and inventory position is below target.,unconstrained_pending_allocation,rules_based_inventory_policy,,0.000000,0.000000,0.000000,0.000000,not_applicable
INVENTORY-5a5cc7e83afe8502,WH-02,PLANT-02,MAT-008,,MAT-008,material,2026-01-15T00:00:00Z,233,13,220,0.000000,407.000000,0.000000,0.000000,27.700000,6454.100000,407.000000,407.000000,29.071429,7.267857,configured_fallback,8.083333,2.564447,observed_supplier_history,41.028654,33.333333,15.781283,150,55,,True,407.000000,-187.000000,0.950000,1.650000,7.267857,2.564447,46.027707,47,47,configured_fallback,234.994048,203.500000,282,282,485.500000,469.000000,680,680,86.000000,594.000000,594.000000,0.000000,0.000000,0.000000,-3.978723,594.000000,32907.600000,32907.600000,,0.000000,1.000000,100.000000,0.000000,0.000000,6.454100,57.122413,57.122413,high,high,1,False,0.000000,0.000000,6454.100000,1290.820000,0.063061,expedite_replenishment,Stockout risk is high and inventory position is below target.,unconstrained_pending_allocation,rules_based_inventory_policy,,0.000000,0.000000,0.000000,0.000000,not_applicable
INVENTORY-5a5cc7e83afe8502,WH-02,PLANT-02,MAT-006,,MAT-006,material,2026-01-15T00:00:00Z,110,20,90,0.000000,414.000000,0.000000,0.000000,22.900000,2519.000000,414.000000,414.000000,29.571429,7.392857,configured_fallback,7.250000,1.785357,observed_supplier_history,43.997088,25.000000,8.856924,120,85,,True,414.000000,-324.000000,0.950000,1.650000,7.392857,1.785357,44.340341,45,45,configured_fallback,214.392857,207.000000,260,260,467.000000,584.000000,800,800,62.000000,738.000000,738.000000,0.000000,0.000000,0.000000,-7.200000,738.000000,33800.400000,33800.400000,,0.000000,1.000000,100.000000,0.000000,0.000000,2.519000,56.977413,56.977413,high,high,1,False,0.000000,0.000000,2519.000000,503.800000,0.164351,expedite_replenishment,Stockout risk is high and inventory position is below target.,unconstrained_pending_allocation,rules_based_inventory_policy,,0.000000,0.000000,0.000000,0.000000,not_applicable
INVENTORY-5a5cc7e83afe8502,WH-02,PLANT-02,PROD-008,PROD-008,,product,2026-01-15T00:00:00Z,184,55,129,0.000000,253.000000,0.000000,0.000000,195.000000,35880.000000,702.689344,1114.461116,50.192096,94.456987,observed_history,12.000000,0.000000,configured_finished_goods_assumption,0.000000,0.000000,0.000000,120,75,,True,253.000000,-124.000000,0.950000,1.650000,94.456987,0.000000,539.894194,540,540,observed_history,602.305152,351.344672,1143,1143,1494.344672,1267.000000,1620,1620,793.310656,826.689344,1238.461116,0.000000,0.000000,0.000000,-0.229630,1238.461116,482999.835287,482999.835287,,0.000000,1.000000,77.788518,0.000000,0.000000,35.880000,44.276259,44.276259,medium,medium,2,False,0.000000,0.000000,35880.000000,7176.000000,0.019584,expedite_replenishment,Stockout risk is high and inventory position is below target.,unconstrained_pending_allocation,rules_based_inventory_policy,,0.000000,0.000000,0.000000,0.000000,not_applicable
INVENTORY-5a5cc7e83afe8502,WH-02,PLANT-02,PROD-004,PROD-004,,product,2026-01-15T00:00:00Z,208,42,166,0.000000,363.000000,0.000000,0.000000,140.000000,29120.000000,1237.075736,1682.360739,88.362553,84.235578,observed_history,8.000000,0.000000,configured_finished_goods_assumption,0.000000,0.000000,0.000000,150,85,,True,363.000000,-197.000000,0.950000,1.650000,84.235578,0.000000,393.119421,394,394,observed_history,706.900421,618.537868,1101,1101,1719.537868,1298.000000,1920,1920,485.924264,1434.075736,1879.360739,0.000000,0.000000,0.000000,-0.500000,1879.360739,526221.006862,526221.006862,,0.000000,1.000000,78.196815,0.000000,0.000000,29.120000,43.466408,43.466408,medium,medium,2,False,0.000000,0.000000,29120.000000,5824.000000,0.042482,expedite_replenishment,Stockout risk is high and inventory position is below target.,unconstrained_pending_allocation,rules_based_inventory_policy,,0.000000,0.000000,0.000000,0.000000,not_applicable
INVENTORY-5a5cc7e83afe8502,WH-02,PLANT-02,PROD-006,PROD-006,,product,2026-01-15T00:00:00Z,94,27,67,0.000000,343.000000,0.000000,0.000000,167.500000,15745.000000,1217.294925,1715.327187,86.949637,70.348984,observed_history,10.000000,0.000000,configured_finished_goods_assumption,0.000000,0.000000,0.000000,90,55,,True,343.000000,-276.000000,0.950000,1.650000,70.348984,0.000000,367.063985,368,368,observed_history,869.496375,608.647462,1238,1238,1846.647463,1514.000000,2130,2130,636.705075,1493.294925,1991.327187,0.000000,0.000000,0.000000,-0.750000,1991.327187,667094.607645,667094.607645,,0.000000,1.000000,81.263157,0.000000,0.000000,15.745000,42.993329,42.993329,medium,medium,2,False,0.000000,0.000000,15745.000000,3149.000000,0.077313,expedite_replenishment,Stockout risk is high and inventory position is below target.,unconstrained_pending_allocation,rules_based_inventory_policy,,0.000000,0.000000,0.000000,0.000000,not_applicable
INVENTORY-5a5cc7e83afe8502,WH-02,PLANT-02,PROD-002,PROD-002,,product,2026-01-15T00:00:00Z,133,35,98,0.000000,291.000000,0.000000,0.000000,112.500000,14962.500000,1132.238284,1660.206912,80.874163,87.452611,observed_history,6.000000,0.000000,configured_finished_goods_assumption,0.000000,0.000000,0.000000,120,65,,True,291.000000,-193.000000,0.950000,1.650000,87.452611,0.000000,353.453552,354,354,observed_history,485.244979,566.119142,840,840,1406.119142,1033.000000,1600,1600,274.761716,1325.238284,1853.206912,0.000000,0.000000,0.000000,-0.545198,1853.206912,416971.555191,416971.555191,,0.000000,1.000000,78.137540,0.000000,0.000000,14.962500,41.313145,41.313145,medium,medium,2,False,0.000000,0.000000,14962.500000,2992.500000,0.075672,expedite_replenishment,Stockout risk is high and inventory position is below target.,unconstrained_pending_allocation,rules_based_inventory_policy,,0.000000,0.000000,0.000000,0.000000,not_applicable
INVENTORY-5a5cc7e83afe8502,WH-03,PLANT-03,PROD-003,PROD-003,,product,2026-01-15T00:00:00Z,115,28,87,0.000000,0.000000,387.000000,0.000000,126.250000,14518.750000,0.000000,602.307767,0.000000,124.017115,observed_history,7.000000,0.000000,configured_finished_goods_assumption,0.000000,0.000000,0.000000,135,75,,True,0.000000,87.000000,0.950000,1.650000,124.017115,0.000000,541.395435,542,542,observed_history,0.000000,0.000000,542,542,542.000000,455.000000,460,460,547.000000,0.000000,515.307767,87.000000,999.000000,999.000000,0.160517,515.307767,130115.211131,130115.211131,,999.000000,0.000000,59.888890,75.652174,0.000000,14.518750,39.687475,39.687475,medium,medium,2,True,87.000000,10983.750000,14518.750000,2903.750000,0.000000,place_replenishment_order,Inventory position is below reorder target.,unconstrained_pending_allocation,rules_based_inventory_policy,,0.000000,0.000000,0.000000,0.000000,not_applicable
