inventory_run_id,forecast_run_id,warehouse_id,product_id,distribution_region,forecast_date,forecast_horizon_day,selected_model,allocated_point_forecast,allocated_lower_bound,allocated_upper_bound,allocation_method,allocation_weight
INVENTORY-5a5cc7e83afe8502,FORECAST-6357daf22de3ea43,WH-01,PROD-001,north,2026-01-15,1,random_forest,0.000000,0.000000,77.932647,recent_warehouse_movement_share,0.547684
INVENTORY-5a5cc7e83afe8502,FORECAST-6357daf22de3ea43,WH-03,PROD-001,north,2026-01-15,1,random_forest,0.000000,0.000000,64.362285,recent_warehouse_movement_share,0.452316
INVENTORY-5a5cc7e83afe8502,FORECAST-6357daf22de3ea43,WH-01,PROD-001,north,2026-01-16,2,random_forest,0.000000,0.000000,77.932647,recent_warehouse_movement_share,0.547684
INVENTORY-5a5cc7e83afe8502,FORECAST-6357daf22de3ea43,WH-03,PROD-001,north,2026-01-16,2,random_forest,0.000000,0.000000,64.362285,recent_warehouse_movement_share,0.452316
INVENTORY-5a5cc7e83afe8502,FORECAST-6357daf22de3ea43,WH-01,PROD-001,north,2026-01-17,3,random_forest,0.000000,0.000000,77.932647,recent_warehouse_movement_share,0.547684
INVENTORY-5a5cc7e83afe8502,FORECAST-6357daf22de3ea43,WH-03,PROD-001,north,2026-01-17,3,random_forest,0.000000,0.000000,64.362285,recent_warehouse_movement_share,0.452316
INVENTORY-5a5cc7e83afe8502,FORECAST-6357daf22de3ea43,WH-01,PROD-001,north,2026-01-18,4,random_forest,0.000000,0.000000,77.932647,recent_warehouse_movement_share,0.547684
INVENTORY-5a5cc7e83afe8502,FORECAST-6357daf22de3ea43,WH-03,PROD-001,north,2026-01-18,4,random_forest,0.000000,0.000000,64.362285,recent_warehouse_movement_share,0.452316
INVENTORY-5a5cc7e83afe8502,FORECAST-6357daf22de3ea43,WH-01,PROD-001,north,2026-01-19,5,random_forest,0.000000,0.000000,77.932647,recent_warehouse_movement_share,0.547684
INVENTORY-5a5cc7e83afe8502,FORECAST-6357daf22de3ea43,WH-03,PROD-001,north,2026-01-19,5,random_forest,0.000000,0.000000,64.362285,recent_warehouse_movement_share,0.452316
INVENTORY-5a5cc7e83afe8502,FORECAST-6357daf22de3ea43,WH-01,PROD-001,north,2026-01-20,6,random_forest,0.000000,0.000000,77.932647,recent_warehouse_movement_share,0.547684
INVENTORY-5a5cc7e83afe8502,FORECAST-6357daf22de3ea43,WH-03,PROD-001,north,2026-01-20,6,random_forest,0.000000,0.000000,64.362285,recent_warehouse_movement_share,0.452316
INVENTORY-5a5cc7e83afe8502,FORECAST-6357daf22de3ea43,WH-01,PROD-001,north,2026-01-21,7,random_forest,0.000000,0.000000,77.932647,recent_warehouse_movement_share,0.547684
INVENTORY-5a5cc7e83afe8502,FORECAST-6357daf22de3ea43,WH-03,PROD-001,north,2026-01-21,7,random_forest,0.000000,0.000000,64.362285,recent_warehouse_movement_share,0.452316
INVENTORY-5a5cc7e83afe8502,FORECAST-6357daf22de3ea43,WH-02,PROD-002,south,2026-01-15,1,random_forest,161.748326,86.324237,237.172416,recent_warehouse_movement_share,0.530055
INVENTORY-5a5cc7e83afe8502,FORECAST-6357daf22de3ea43,WH-04,PROD-002,south,2026-01-15,1,random_forest,143.405733,76.534891,210.276575,recent_warehouse_movement_share,0.469945
INVENTORY-5a5cc7e83afe8502,FORECAST-6357daf22de3ea43,WH-02,PROD-002,south,2026-01-16,2,random_forest,161.748326,86.324237,237.172416,recent_warehouse_movement_share,0.530055
INVENTORY-5a5cc7e83afe8502,FORECAST-6357daf22de3ea43,WH-04,PROD-002,south,2026-01-16,2,random_forest,143.405733,76.534891,210.276575,recent_warehouse_movement_share,0.469945
INVENTORY-5a5cc7e83afe8502,FORECAST-6357daf22de3ea43,WH-02,PROD-002,south,2026-01-17,3,random_forest,161.748326,86.324237,237.172416,recent_warehouse_movement_share,0.530055
INVENTORY-5a5cc7e83afe8502,FORECAST-6357daf22de3ea43,WH-04,PROD-002,south,2026-01-17,3,random_forest,143.405733,76.534891,210.276575,recent_warehouse_movement_share,0.469945
INVENTORY-5a5cc7e83afe8502,FORECAST-6357daf22de3ea43,WH-02,PROD-002,south,2026-01-18,4,random_forest,161.748326,86.324237,237.172416,recent_warehouse_movement_share,0.530055
INVENTORY-5a5cc7e83afe8502,FORECAST-6357daf22de3ea43,WH-04,PROD-002,south,2026-01-18,4,random_forest,143.405733,76.534891,210.276575,recent_warehouse_movement_share,0.469945
INVENTORY-5a5cc7e83afe8502,FORECAST-6357daf22de3ea43,WH-02,PROD-002,south,2026-01-19,5,random_forest,161.748326,86.324237,237.172416,recent_warehouse_movement_share,0.530055
