maintenance_run_id,alert_id,machine_id,plant_id,production_line_id,sensor_type,risk_level,failure_risk_score,recommended_action,synthetic_data_flag
MAINT-f281a27e7d014de8,MA-743563a7e40b,MACH-01-02-02,PLANT-01,LINE-01-02,vibration,high,76.370676,prioritise_non_binding_maintenance_review,True
MAINT-f281a27e7d014de8,MA-771ab1ab3ba7,MACH-01-02-03,PLANT-01,LINE-01-02,vibration,high,71.548388,prioritise_non_binding_maintenance_review,True
MAINT-f281a27e7d014de8,MA-7851ef57f655,MACH-03-02-01,PLANT-03,LINE-03-02,temperature,high,67.894543,prioritise_non_binding_maintenance_review,True
MAINT-f281a27e7d014de8,MA-7d4bd9f9061d,MACH-02-01-01,PLANT-02,LINE-02-01,vibration,high,62.711210,prioritise_non_binding_maintenance_review,True
MAINT-f281a27e7d014de8,MA-8250f444a5e7,MACH-03-01-02,PLANT-03,LINE-03-01,temperature,high,75.275986,prioritise_non_binding_maintenance_review,True
MAINT-f281a27e7d014de8,MA-96fec773c729,MACH-02-01-02,PLANT-02,LINE-02-01,vibration,high,61.237596,prioritise_non_binding_maintenance_review,True
MAINT-f281a27e7d014de8,MA-a8e176f92845,MACH-03-01-03,PLANT-03,LINE-03-01,temperature,high,69.620730,prioritise_non_binding_maintenance_review,True
MAINT-f281a27e7d014de8,MA-00fe6a2875ac,MACH-03-02-01,PLANT-03,LINE-03-02,vibration,low,26.771581,monitor_near_threshold_sensor,True
MAINT-f281a27e7d014de8,MA-0221802fafb4,MACH-03-02-02,PLANT-03,LINE-03-02,vibration,low,15.439497,monitor_near_threshold_sensor,True
MAINT-f281a27e7d014de8,MA-0d762482d1d6,MACH-01-01-03,PLANT-01,LINE-01-01,vibration,low,25.307708,monitor_near_threshold_sensor,True
MAINT-f281a27e7d014de8,MA-102abad28070,MACH-01-01-02,PLANT-01,LINE-01-01,vibration,low,26.261130,monitor_near_threshold_sensor,True
MAINT-f281a27e7d014de8,MA-10d7421b7cc5,MACH-03-01-03,PLANT-03,LINE-03-01,vibration,low,21.017638,monitor_near_threshold_sensor,True
MAINT-f281a27e7d014de8,MA-10fa14a3a2b4,MACH-03-01-01,PLANT-03,LINE-03-01,vibration,low,15.795435,monitor_near_threshold_sensor,True
MAINT-f281a27e7d014de8,MA-12411929d1ec,MACH-03-02-01,PLANT-03,LINE-03-02,temperature,low,22.607871,review_degradation_trend,True
MAINT-f281a27e7d014de8,MA-1e120d8b524c,MACH-03-02-02,PLANT-03,LINE-03-02,vibration,low,24.454521,monitor_near_threshold_sensor,True
