quality_run_id,alert_id,inspection_timestamp,plant_id,production_line_id,machine_id,product_id,quality_metric,risk_level,quality_risk_score,recommended_action,synthetic_data_flag
QUALITY-ea15caf8c05763b0,QA-72ef5bfe44cd,2026-01-12 06:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,PROD-006,diameter_mm,critical,96.802079,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-a663dccf9547,2026-01-13 14:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-03,PROD-006,diameter_mm,critical,97.750000,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-ef72834dc638,2026-01-06 06:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,PROD-008,diameter_mm,critical,80.863024,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-f3ca90468514,2026-01-09 14:00:00+00:00,PLANT-01,LINE-01-01,MACH-01-01-01,PROD-008,surface_finish_ra,critical,86.028226,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-74efdf2c0c28,2026-01-13 06:00:00+00:00,PLANT-02,LINE-02-02,MACH-02-02-01,PROD-001,surface_finish_ra,high,60.116469,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-9be4d73d155a,2026-01-11 06:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-03,PROD-006,diameter_mm,high,72.750000,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-ad72156949e7,2026-01-02 14:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-03,PROD-007,diameter_mm,high,61.129357,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-df71a7c72b24,2026-01-01 06:00:00+00:00,PLANT-02,LINE-02-02,MACH-02-02-01,PROD-005,surface_finish_ra,high,60.643881,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-ec7a3ab54606,2026-01-04 06:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,PROD-006,diameter_mm,high,61.140575,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-f5e280f3a6ca,2026-01-01 06:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,PROD-007,diameter_mm,high,61.386396,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-04dacab5136c,2026-01-11 06:00:00+00:00,PLANT-03,LINE-03-01,MACH-03-01-02,PROD-008,torque_nm,low,9.969576,review_anomalous_quality_measurement,True
QUALITY-ea15caf8c05763b0,QA-05e3e6b31a49,2026-01-07 14:00:00+00:00,PLANT-03,LINE-03-01,MACH-03-01-02,PROD-002,torque_nm,low,26.350412,review_process_control_signal,True
QUALITY-ea15caf8c05763b0,QA-43db58fb464b,2026-01-01 14:00:00+00:00,PLANT-02,LINE-02-02,MACH-02-02-01,PROD-003,surface_finish_ra,low,10.110659,monitor_near_limit_quality_metric,True
QUALITY-ea15caf8c05763b0,QA-63a38d146a6d,2026-01-08 06:00:00+00:00,PLANT-01,LINE-01-02,MACH-01-02-02,PROD-006,torque_nm,low,20.000000,review_anomalous_quality_measurement,True
QUALITY-ea15caf8c05763b0,QA-69b4e1093473,2026-01-01 14:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-03,PROD-002,diameter_mm,low,13.225372,monitor_near_limit_quality_metric,True
QUALITY-ea15caf8c05763b0,QA-7c0fd246e0d7,2026-01-09 14:00:00+00:00,PLANT-03,LINE-03-01,MACH-03-01-02,PROD-004,torque_nm,low,28.786461,review_process_control_signal,True
QUALITY-ea15caf8c05763b0,QA-7cc4059cafa6,2026-01-14 14:00:00+00:00,PLANT-01,LINE-01-01,MACH-01-01-01,PROD-001,surface_finish_ra,low,11.817546,monitor_near_limit_quality_metric,True
QUALITY-ea15caf8c05763b0,QA-b0c4dd29b649,2026-01-09 06:00:00+00:00,PLANT-03,LINE-03-01,MACH-03-01-02,PROD-006,torque_nm,low,0.727145,review_anomalous_quality_measurement,True
QUALITY-ea15caf8c05763b0,QA-c5d3d0eee43f,2026-01-03 14:00:00+00:00,PLANT-01,LINE-01-02,MACH-01-02-02,PROD-003,torque_nm,low,0.760770,review_anomalous_quality_measurement,True
QUALITY-ea15caf8c05763b0,QA-cf31ee0700aa,2026-01-03 06:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,PROD-001,diameter_mm,low,16.951973,monitor_near_limit_quality_metric,True
QUALITY-ea15caf8c05763b0,QA-d7c23a0fe00c,2026-01-06 14:00:00+00:00,PLANT-02,LINE-02-02,MACH-02-02-01,PROD-004,surface_finish_ra,low,12.791651,monitor_near_limit_quality_metric,True
QUALITY-ea15caf8c05763b0,QA-0450f376fc43,2026-01-05 14:00:00+00:00,PLANT-02,LINE-02-02,MACH-02-02-01,PROD-007,surface_finish_ra,medium,56.345384,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-0c9a483e925e,2026-01-10 06:00:00+00:00,PLANT-01,LINE-01-01,MACH-01-01-01,PROD-007,surface_finish_ra,medium,50.605703,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-0e49d88ca0df,2026-01-05 14:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-03,PROD-006,diameter_mm,medium,59.330246,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-181d43d5d6f3,2026-01-08 14:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,PROD-008,diameter_mm,medium,59.763141,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-3ce5185993b4,2026-01-06 06:00:00+00:00,PLANT-02,LINE-02-02,MACH-02-02-01,PROD-006,surface_finish_ra,medium,51.097618,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-448c54df70b9,2026-01-04 14:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,PROD-004,diameter_mm,medium,53.281331,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-7aa1bc7a0c3f,2026-01-08 06:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-03,PROD-007,diameter_mm,medium,58.708203,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-7c9a361eb876,2026-01-13 06:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-03,PROD-008,diameter_mm,medium,59.517947,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-8e05f2863fed,2026-01-09 14:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,PROD-005,diameter_mm,medium,57.420896,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-946a6c320269,2026-01-10 14:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,PROD-002,diameter_mm,medium,55.681819,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-aa83f1ed33f5,2026-01-14 14:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-03,PROD-003,diameter_mm,medium,54.829065,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-ab59ed67cac4,2026-01-14 06:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-03,PROD-005,diameter_mm,medium,57.160683,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-acd22e607204,2026-01-08 14:00:00+00:00,PLANT-02,LINE-02-02,MACH-02-02-01,PROD-006,surface_finish_ra,medium,49.437179,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-bcc6105e5909,2026-01-03 14:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-03,PROD-004,diameter_mm,medium,54.100372,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-d6a4d793d890,2026-01-10 06:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,PROD-004,diameter_mm,medium,55.865127,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-d80e87670d79,2026-01-14 06:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,PROD-008,diameter_mm,medium,57.198248,investigate_specification_failure,True
QUALITY-ea15caf8c05763b0,QA-f366c75e1390,2026-01-06 14:00:00+00:00,PLANT-03,LINE-03-01,MACH-03-01-02,PROD-005,torque_nm,medium,34.032403,review_process_control_signal,True
